Sample_ID,Sample Name,Source Plate Barcode,Source Plate Name,Source Well,Destination Plate Barcode,Destination Plate Name,Destination Well,Volume
Moty_run1_c297,Moty_run1_c297,GF0001258,GF0001258_Process,M8,GF0001264,GF0001264,M8,1000.0
Moty_run1_c298,Moty_run1_c298,GF0001258,GF0001258_Process,M9,GF0001264,GF0001264,M9,1000.0
Moty_run1_c299,Moty_run1_c299,GF0001258,GF0001258_Process,M10,GF0001264,GF0001264,M10,1000.0
Moty_run1_c300,Moty_run1_c300,GF0001258,GF0001258_Process,M11,GF0001264,GF0001264,M11,1000.0
Moty_run1_c301,Moty_run1_c301,GF0001258,GF0001258_Process,M12,GF0001264,GF0001264,M12,1000.0
Moty_run1_c302,Moty_run1_c302,GF0001258,GF0001258_Process,M13,GF0001264,GF0001264,M13,1000.0
Moty_run1_c303,Moty_run1_c303,GF0001258,GF0001258_Process,M14,GF0001264,GF0001264,M14,1000.0
Moty_run1_c304,Moty_run1_c304,GF0001258,GF0001258_Process,M15,GF0001264,GF0001264,M15,1000.0
Moty_run1_c305,Moty_run1_c305,GF0001258,GF0001258_Process,M16,GF0001264,GF0001264,M16,1000.0
Moty_run1_c306,Moty_run1_c306,GF0001258,GF0001258_Process,M17,GF0001264,GF0001264,M17,1000.0
Moty_run1_c307,Moty_run1_c307,GF0001258,GF0001258_Process,M18,GF0001264,GF0001264,M18,1000.0
Moty_run1_c308,Moty_run1_c308,GF0001258,GF0001258_Process,M19,GF0001264,GF0001264,M19,1000.0
Moty_run1_c309,Moty_run1_c309,GF0001258,GF0001258_Process,M20,GF0001264,GF0001264,M20,1000.0
Moty_run1_c310,Moty_run1_c310,GF0001258,GF0001258_Process,M21,GF0001264,GF0001264,M21,1000.0
Moty_run1_c311,Moty_run1_c311,GF0001258,GF0001258_Process,M22,GF0001264,GF0001264,M22,1000.0
Moty_run1_c312,Moty_run1_c312,GF0001258,GF0001258_Process,M23,GF0001264,GF0001264,M23,1000.0
Moty_run1_c313,Moty_run1_c313,GF0001258,GF0001258_Process,M24,GF0001264,GF0001264,M24,1000.0
Moty_run1_c314,Moty_run1_c314,GF0001258,GF0001258_Process,N1,GF0001264,GF0001264,N1,1000.0
Moty_run1_c315,Moty_run1_c315,GF0001258,GF0001258_Process,N2,GF0001264,GF0001264,N2,1000.0
Moty_run1_c316,Moty_run1_c316,GF0001258,GF0001258_Process,N3,GF0001264,GF0001264,N3,1000.0
Moty_run1_c317,Moty_run1_c317,GF0001258,GF0001258_Process,N4,GF0001264,GF0001264,N4,1000.0
Moty_run1_c318,Moty_run1_c318,GF0001258,GF0001258_Process,N5,GF0001264,GF0001264,N5,1000.0
